KURUM,YIL,LINK
MARDİN BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3912-mardin-buyuksehir-belediyesi
MERSİN BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3913-mersin-buyuksehir-belediyesi
MERSİN BÜYÜKŞEHİR SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2020,https://www.sayistay.gov.tr/reports/download/3914-mersin-buyuksehir-su-ve-kanalizasyon-ida
MERSİN TARSUS BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3915-mersin-tarsus-belediyesi
METRO İSTANBUL SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3916-metro-istanbul-sanayi-ve-ticaret-anonim
MUĞLA BODRUM BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3917-mugla-bodrum-belediyesi
MUĞLA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3918-mugla-buyuksehir-belediyesi
MUĞLA FETHİYE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3919-mugla-fethiye-belediyesi
MUĞLA MARMARİS BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3920-mugla-marmaris-belediyesi
MUĞLA MENTEŞE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3921-mugla-mentese-belediyesi
MUĞLA MİLAS BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3922-mugla-milas-belediyesi
MUĞLA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (MUSKİ),2020,https://www.sayistay.gov.tr/reports/download/3923-mugla-su-ve-kanalizasyon-idaresi-genel-m
MUŞ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3924-mus-belediyesi
NİĞDE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3925-nigde-belediyesi
ORDU ALTINORDU BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3926-ordu-altinordu-belediyesi
ORDU BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3927-ordu-buyuksehir-belediyesi
RİZE ÇAYELİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3928-rize-cayeli-belediyesi
SAKARYA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3929-sakarya-buyuksehir-belediyesi
SAMSUN ATAKUM BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3930-samsun-atakum-belediyesi
SAMSUN BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3931-samsun-buyuksehir-belediyesi
SAMSUN SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2020,https://www.sayistay.gov.tr/reports/download/3932-samsun-su-ve-kanalizasyon-idaresi-genel
SİDAŞ EMLAK OTOMOTİV NAKLİYE İNŞ. A.Ş.,2020,https://www.sayistay.gov.tr/reports/download/3933-sidas-emlak-otomotiv-nakliye-ins-as
SİVAS BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3934-sivas-belediyesi
ŞANLIURFA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3935-sanliurfa-buyuksehir-belediyesi
TEKİRDAĞ BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3936-tekirdag-buyuksehir-belediyesi
TEKİRDAĞ ÇERKEZKÖY BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3937-tekirdag-cerkezkoy-belediyesi
TEKİRDAĞ KAPAKLI BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3938-tekirdag-kapakli-belediyesi
TOKAT BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3939-tokat-belediyesi
TRABZON ARAKLI BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3941-trabzon-arakli-belediyesi
TRABZON BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3942-trabzon-buyuksehir-belediyesi
